Company,Products / Services,Primary Category (Products/Services Keywords),Secondary Category Keywords ,First Detected (Timeline Start),Expansion Phase,Current Stage
The Commonwealth Bank of Australia (CBA),SAP Ariba Business Network (Contract & Procurement Platform),Enterprise Procurement & Contract TechNology,"SAP Ariba Network, Source-to-Contract, Sourcing & RFx, Guided Buying, Contract Workflow",Q4 2009,Procurement workflows and supplier management platform usage,Expansion
The Commonwealth Bank of Australia (CBA),DocuSign eSignature Platform,"Digital Transaction Management, eSignature Platform","DocuSign eSignature, Electronic Signing, Loan Documentation, Secure Audit Trail",Q4 2020,Enterprise digital document signing and contract execution,Mature
Stockland,SAP Ariba Contract & Procurement Platform,Enterprise Procurement & Contract TechNology,"SAP Ariba Network, Supplier Sourcing, Contract Workflow, Digital Procurement Automation",Q2 2021,Core ERP-linked procurement workflows and contract processing,Expansion
Stockland,DocuSign Electronic Signature Platform,E-Signature Platform,"Electronic Signature, Digital Contract Signing, Remote Execution, Paperless Contracts",Q2 2021,Enterprise electronic contract signing and digital workflows,Mature
Honda Motors,Electronic Contract Execution (Adobe Sign),E-Signature Technology,"Adobe Sign, Digital Contract Signing",,Enterprise electronic signature usage,Standardized
Honda Motors,Volody AI Contract Lifecycle Management Software,Contract Lifecycle Management (CLM),"AI-powered CLM, Contract Drafting, Review & Risk Analysis, Clause Suggestions, Automation",Q1 2024,Contract lifecycle management platform adoption,Expansion
Sumitomo Mitsui Banking (SMBC),SMBC CLOUDSIGN (Electronic Contracting Service),"Digital Contract Services, Electronic Signing Platform","Cloud-based eContracts, eSignature, Contract Storage, Online Contract Conclusion",Q4 2019,Standardized electronic contract signing across banking workflows,Mature
Sumitomo Mitsui Banking (SMBC),MNTSQ CLM (Contract Lifecycle Management),"Contract Lifecycle Management, Third-Party CLM Platform","Contract Repository, AI Contract Review, Legal Workflow Automation",,Contract repository and post-signature CLM implementation,Expansion
Sumitomo Mitsui Banking (SMBC),SMBC Legal X CLM Initiative,Contract Lifecycle Management,"Contract Creation, Administration, Renewal, Cloud Contract Services",,Enterprise legal contract lifecycle management platform,Expansion
Sumitomo Mitsui Banking (SMBC),VeriSign Japan K.K. Electronic Signature Solution,E-Signature Technology,"Jointly Developed Solution, Digital Signature Verification, Email Authenticity",Q2 2006,Early adoption of electronic signatures and digital authentication,Legacy / Standardized
Mizuho Bank,MNTSQ CLM (Core Contract Lifecycle Management Platform),Contract Lifecycle Management (CLM),"Contract Drafting, Contract Review, Contract Data Centralization, Knowledge Management, AI-Assisted Contract Workflows",,Contract lifecycle management adoption for enterprise legal workflows,Expansion
Mizuho Bank,OneSpan Digipass 275 (Transaction Signing Token),E-Signature & Authentication,"Transaction Signing, One-Time Password (OTP), Secure Signing",Q1 2019,Secure transaction signing and digital authentication for banking workflows,Mature
Mizuho Bank,OneSpan Electronic Transaction Signing,E-Signature Capability,"Digital Transaction Approval, Anti-Fraud Signing",Q1 2019,Secure transaction signing and digital authentication for banking workflows,Mature
Toshiba Corporation,DocuSign eSignature,"Electronic Signature, E-Sign Technology","Send & Sign, Digital Agreements, Audit Trails",,Enterprise digital document signing and approval workflows,Standardized
Toshiba Corporation,DocuSign CLM,Contract Lifecycle Management,"Contract Automation, Workflows, Central Repository",,Contract lifecycle automation and repository enablement,Standardized
Toshiba Corporation,DocuSign Identify,Identity Verification,"ID Verification, Enhanced Signer Authentication",,Identity verification integrated with eSignature workflows,Standardized
Toshiba Corporation,DocuSign Guided Forms powered by Intelledox,Smart Form Generation,"Wizard-Style Forms, Document Capture",,Guided form-based document generation and capture,Standardized
Toshiba Corporation,DocuSign Insight,Contract Intelligence & Search,"AI-Based Clause Analysis, Contract Insights",,AI-driven contract analytics and search,Standardized
Toshiba Corporation,SAP Ariba,Digital Procurement & Contract Platform,"Cloud Procurement, Spend Management, Supplier Contracts",Q1 2021,"Digital procurement, supplier collaboration, and contract-enabled purchasing workflows",Mature
Singapore Airlines,SAP Ariba Contract Workspace,CLM / Contract Management Tool,"Contract Review, Negotiation Support, Terms & Conditions",,Procurement-led contract digitization across supplier onboarding and sourcing workflows,Expansion
AirAsia,Oracle Cloud Procurement & Supplier Management Platform,"Procurement & Supply Chain Management, Enterprise IT","E-Procurement, Supplier Registration, Sourcing Optimization, Compliance Management, ABAC Policy, Supplier Code of Conduct (SCOC), ESG Screening",Q2 2025,Enterprise-wide supplier governance and compliance standardization across procurement and supply chain operations,Standardized
HSBC,HSBC E- sCMS,Smart Contract Management Solution (sCMS),Contract Lifecycle Management (CLM),Q3 2022,Smart contract management and digital contract lifecycle workflows,Expansion
DBS Bank,Pactly,"Contract Lifecycle Management, Legal Technology","Contract Automation, Clause Management, Legal Workflow Automation, Contract Repository",Q2 2021,Legal-led contract automation focused on internal contract workflows and legal operations,Expansion
DBS Bank,DocuSign,"Digital Transaction Management, eSignature","Digital Signatures, Secure Document Signing, Approval Workflows, Audit Trails",Q1 2020,"Enterprise digital signing adoption across banking, legal, and operational workflows",Mature
DBS Bank,DBS eSign,"Digital Banking Platforms, In-house eSignature","Customer Digital Acceptance, Secure Authentication, Paperless Banking",,Bank-wide customer-facing digital signing embedded within core digital banking journeys,Standardized
Bank of the Philippine Islands (BPI),DocuSign Electronic Signature,E-Signature Platform,"Email Signing, SMS Code Verification, Digital Signature Options",Q4 2023,Enterprise digital signing for loan documentation and customer agreements,Mature
ANZ Bank,SAP Ariba Business Network Enablement,"E-Procurement, Digital Transaction Management","SAP Ariba Network, Electronic Purchase Orders, E-Invoicing, Supplier Enablement, Digital Document Exchange",Q2 2024,Supplier onboarding and procurement collaboration via SAP Business Network,Expansion
Macquarie Group,Coupa Supplier Portal (CSP),Cloud Contract & Procurement Platform,"Procure-to-Pay (P2P), Electronic Invoice Submission, Purchase Order Management",Q4 2007,"Procurement, invoicing, and spend management automation",Standardized
Macquarie Group,Coupa Contract Collaboration,Contract Management (CLM Capability),"Contract Access, Contract Editing & Signing (where supported)",Q4 2007,Contract collaboration within P2P workflows,Standardized
Macquarie Group,DocuSign,E-Signature Platform,"Electronic Signatures, Digital Document Signing",,Policy-level acceptance of electronic signatures for customer and legal documents,Standardized
Macquarie Group,Adobe Sign,E-Signature Platform,"Cloud-Based Signing, Digital Signatures",,Multi-vendor electronic signature acceptance across banking workflows,Standardized
Macquarie Group,Annature,E-Signature Platform,"Electronic Execution, Digital Signing",,Region-compliant electronic signing acceptance,Standardized
Macquarie Group,Conga,E-Signature Platform,"Contract Signing, Digital Signatures",,Contract and document signing acceptance via supported eSign tools,Standardized
Macquarie Group,FuseSign,E-Signature Platform,Secure Electronic Signing,,Secure electronic signature acceptance for regulated documents,Standardized
Macquarie Group,Iress Digital Signature,E-Signature Platform,"Financial Document Signing, Digital Authentication",,Financial-services-specific electronic signature workflows,Standardized
Macquarie Group,Nitro Sign,E-Signature Platform,"PDF Digital Signing, Electronic Signatures",,PDF-based electronic signing acceptance,Standardized
Macquarie Group,OneSpan,E-Signature Platform,"Secure Signing, Authentication-Based Signatures",,Secure authentication-backed electronic signing acceptance,Standardized
Macquarie Group,PleaseSign,E-Signature Platform,Digital Signing Workflow,,Compliant electronic signing for customer documentation,Standardized
Macquarie Group,SigniFlow,E-Signature Platform,Electronic Signature Automation,,Enterprise-grade workflow-enabled electronic signature acceptance,Standardized
Bendigo and Adelaide Bank,Coupa,"Procurement Technology, Contract Management","Supplier Management, Procurement Workflows, Contract Amendments, Spend Management",Q2 2025,Procurement-led digitization and sourcing workflow automation,Expansion
Bendigo and Adelaide Bank,DocuSign,"Digital Transaction Management, eSignature","Digital Signatures, Digital Acceptance, Secure Document Signing, Audit Trails",,Enterprise digital signing used across customer and operational workflows,Mature
NAB (National Australia Bank),SAP Ariba,"Procurement Technology, Contract Management","Supplier Contracts, Procurement Workflows, Contract Amendments, Change Orders",Q4 2020,Procurement-led contract digitization across supplier and sourcing processes,Expansion
NAB (National Australia Bank),DocuSign,"Digital Transaction Management, eSignature","Digital Signatures, Secure Document Signing, Approval Workflows, Audit Trails",,Enterprise digital signing in active use across banking workflows,Mature
Mirvac,SAP Ariba Online Procurement Platform,CLM-Related Digital Procurement Platform,"Contract Management, Supplier Tendering, Supplier Relationships",Q4 2016,Procurement workflows and supplier reporting,Mature
Mirvac,DocuSign Electronic Signature Platform,E-Signature Platform,"DocuSign, Secure Digital Signing, Remote Execution",Q2 2022,Enterprise digital signing for planning and approval documents,Expansion
Mirvac,Adobe Sign Electronic Signature Platform,E-Signature Platform,"AdobeSign, Digital Signature, Cloud-Based Signing",Q2 2022,Digital signature execution for official submissions,Expansion
Lendlease,DocuSign Electronic Lease Execution,E-Signature Platform,"Digital Lease Signing, Electronic Signatures, Electronic Execution of Contracts",Q4 2022,Digital contract execution and approval workflows,Expansion
Toyota,MNTSQ CLM (Contract Lifecycle Management),"Contract Lifecycle Management, Third-Party CLM Platform","Contract Repository, AI Contract Review, Legal Workflow Automation",,Dedicated legal CLM rollout,Standardized
Toyota,DocuSign eSignature,E-Signature Platform,"Digital Signing, Electronic Signature, Content Management Modernization, Legacy Replacement",Q4 2022,Enterprise digital signing,Mature
Woven by Toyota,DocuSign CLM,"Contract Lifecycle Management, Enterprise IT","Contract Authoring, Clause Management, Workflow Automation, Approval Workflows, Contract Repository, Renewal Management",Q1 2022,Legal workflow digitization and contract lifecycle automation within mobility and software units,Mature
